Product Name,Brand,Calories (kcal),Proteins (g),Fat (g),Sugar (g),Salt (g),Carbohydrates (g),Code,Ingredients Text,Serving Suggestions
Buldak Hot Chicken Flavor Ramen,"Buldak, Samyang",350.0,9.29,7.14,5.0,2.95,61.4,8801073110502,"Noodle (76.7%) [Wheat flour, Thickener (E1420, E412), Palm oil, Wheat gluten, Salt, Emulsifier (E422, E322), Soybean oil, Acidity regulator (E501, E500, E339, E330), Water, Tocopherol powder (Contains: Soy), Green tea extract, Colour: E101], Soup (22.7%) [Water, Artificial chicken flavour (Contains: Gluten, Soy, Celery), Soy sauce, Sugar, Habanero pepper, Chili pepper, Soybean oil, Onion, Chilli pepper seed oil, Garlic, Thickener: E1420, Chili pepper oleoresin, Colour: E160c, Black pepper, Curry seasoning (Contains: Celery)], Flake (0.6%) [Roasted sesame, Roasted laver].

May contain traces of Crustaceans, Eggs, Fish, Molluscs, Milk, Mustard, Nuts, Peanuts, Sesame seeds.",N/A
Wholewheat Penne,Tesco,323.0,10.37,1.615,,,63.24,5051140350352,Durum Wholewheat Semolina,N/A
Spaghetti,"Combino, Lidl",359.0,12.0,1.9,3.0,0.03,72.0,4013159604599,"Hartweizengrieß,",N/A
Medium Egg Noodles,Blue Dragon,188.0,7.0,0.7,1.2,0.787,38.0,5010338103767,"Wheat Flour (Wheat Flour with Calcium Carbonate, Iron, Niacin, Thiamin), Water, Pasteurised Free Range Whole Egg (5%), Salt, Paprika, Turmeric, Firming Agents (Potassium Carbonate, Sodium Carbonate), Acidity Regulator (Citric Acid).",N/A
Panzani - spf - bolognaise 210g,Panzani,82.0,4.5,3.7,5.8,0.91,6.9,3038359004582,"Pulpe de tomates et concentré de tomates 56%, viande 17,5% (porc, boeuf), eau, légumes (carottes 6%, oignons 3%), sucre, sel, amidon transformé de maïs, persil 0,3%, huile de tournesol, arômes, ail.",N/A
Demae Ramen - Chicken,Nissin,91.0,2.0,4.0,0.5,0.216,11.1,8712429350100,"noodles 91,5% [wheat flour, palm oil,  stabilizer (potassium carbonate), thickener (guar gum), antioxidant (tocopherol-rich extract)], seasoning powder 7.3% [salt, flavor enhancers guanillate disodium (disodium inosinate], sugar, chicken meat powder (6.2% in seasoning powder), spices, soy sauce powder (soybeans, wheat, salt, m yeast extract,  flavouring, cont rapeseed, anti-caking agent (silicon dioxide), smoke flavouring), seasoning in oil 1.2% [(toasted sesame seed oil of may contain , crustaceans, fish, milk, molluscs and mustard, ()",N/A
Buldak Hot Chicken Flavour Ramen 2x spicy,Samyang,393.0,9.29,12.1,5.0,2.5,60.7,8801073113428,"noodle (76,7%)(wheat flour, tapioca starch, palm oil, wheat gluten, salt, soybean oil, water, acidity regulator (potassium carbonate (e501), sodium carbonate (e500), sodium phosphate dibasic (e399), sodium polyphosphate (e452), citric acid (e330)), thickener ((guar gum (e412)) emulsifier (soy lecithin(e332)))),
soup(22,7%)( water, artificial chicken flavor powder, white sugar, soy sauce, red pepper powder, soybean oil, onion powder, chilli extract, salt, garlic powder, tapioca starch, yeast extract powder, black pepper powder, curry powder), 
flakes(0,6%)(roasted sesame, roasted laver)",N/A
Dolmio Original Bolognese,"Dolmio,Mars",45.0,1.3,0.6,5.4,0.69,7.9,4002359634420,"tomatoes (78%), tomato paste (10%), onion, sugar, modified maize starch, salt, sunflower oil, basil (0,3%), garlic, acidity regulator (citric acid), parsley, herb, spices",N/A
Barilla Olive,"Barilla, Kalkof",77.0,1.9,4.5,4.8,1.05,6.2,8076809513715,"tomato pulp 64%, tomato concentrate 10%, olives 9,7% (green olives 8,5%, black olives 1,2%), sunflower oil, white wine, onions, sugar, salt, capers, natural flavors, parsley, garlic, oregano ,",N/A
Tomato Sauce for Bolognese,Heinz,49.0,1.6,2.1,4.3,0.79,5.3,5000157146281,"Tomato (67%), tomato puree, onion, celery, carrot, extra virgin olive oil, sea salt, white wine vinegar, garlic, apple juice concentrate, basil, bay leaf, rosemary, thyme, black pepper",N/A
Heinz Tomato and Chilli Sauce,Heinz,53.0,1.7,2.6,4.1,0.7,5.0,5000157146311,"tomato (80%), tomato puree, onion, extra virgin olive oil, red pepper, sea salt, garlic, paprika, chilli (0.3%), lemon juice concentrate, black pepper. 

May contain peanut & almond.",N/A
Penne Rigate Nudeln,Combino,359.0,12.0,1.9,3.0,0.03,72.0,4013159604551,durum wheat semolina,N/A
Pasta Lentejas Mercadona,Mercadona,334.0,26.0,1.7,1.2,0.01,50.0,8032804430822,100% Farinha de lentilhas vermelhas.,N/A
Medium egg Noodles,Sainsbury's,342.0,11.8,3.52,1.12,0.08,64.5,00322768,"Wheat Flour, Water, Dried Egg Yolk (4%), Salt, Acidity Regulator: Potassium carbonate.",N/A
N/A,N/A,,,,,,,0769503567112,N/A,N/A
Wholewheat fusilli,By Sainsbury's,154.0,5.2,0.9,1.4,0.01,29.6,00369695,Wholewheat durum Wheat semolina,N/A
Fusilli Blé complet,Carrefour,360.0,13.0,2.0,3.0,0.0,70.0,3560070825493,"Semoule complète de _blé_ dur.
Peut contenir des traces d'œufs et de soja",N/A
straight to wok medium noodles,Amoy,151.0,6.4,1.4,0.6,0.4,27.3,5010928390508,"Water, wheat flour, sunflower oil, wheat gluten, salt, acidity regulator - lactic acid, stabiliser-guar gum",N/A
Penne rigate nº 41,De Cecco,351.0,14.0,1.5,3.4,0.0,69.0,8001250120410,wheat,N/A
Tortelloni Pesto Basilico,"Toque du Chef, chef select",199.0,7.7,7.9,1.9,0.001725,23.8,4056489009184,"53% töltelék [19%* ricotta savósajt (édes tejsavó, étkezési sav: citromsav; savanyúságot szabályozó anyag: tejsav; étkezési só), panírliszt (búzaliszt, élesztő, étkezési só), 4,7%* bazsalikom, 4,7%* mozzarella sajt, repceolaj, 2,6 %* juhsajt (juhtej, étkezési só, sajtkultúrák, mikrobiológiai oltóenzim), 2,4%* kesudió, teljes mértékben hidrogénezett repceolaj, laktóz, 1,5%* kemény sajt, burgonyapehely (burgonya, emulgeálószer: zsírsavak mono - és digliceridjei), jódozott étkezési só (étkezési só, kálium-jodid), rizsliszt, 0,5%* fenyőmag, természetes aroma], 47% tészta (búzaliszt, 14%* teljes tojás**, durumbúza-őrlemény). *A késztermékben.",N/A
Aubergine Parmigiana Fresh Tortelloni,RANA,210.0,7.8,7.8,3.3,0.54,25.0,8001665705059,"Filling 53%: Fried Aubergines 22% (Aubergine, Sunflower Oil), Mozzarella Cheese (From Milk) 16%, Chopped Tomatoes 11%, Tomato Concentrate 9%, Mascarpone Cheese (From Milk), Ricotta Cheese (From Milk), Vegetable Fibres (From Corn and Potato), Full Fat Hard Cheese (From Milk), Breadcrumbs (Soft Wheat Flour, Water, Salt, Yeast), Whey Powder (From Milk), Natural Flavourings, Starches (From Pea, Potato and Corn), Basil 1%, Salt, Garlic. Pasta 47%: Soft Wheat Flour, Eggs 30%, Durum Wheat Semolina.",N/A
Linguine n° 7,De Cecco,351.0,14.0,1.5,3.4,0.01,69.0,8001250120076,Pasta di semola di grano duro.,N/A
Chickpea Fusilli,The Foodie Market,192.0,11.0,3.0,0.8,0.04,27.3,4088600206486,Chickpea Flour.,N/A
Wholewheat Noodles,Sainsbury's,,,,,,,00322775,"Wholewheat Flour (89%), Water, Salt.",N/A
Marinara Sauce,"Rao, Rao's Homemade",80.0,1.6,5.6,3.2,0.84,4.8,0747479000413,"Italian Whole Peeled Tomatoes, Olive Oil, Onions, Salt, Garlic, Basil, Black Pepper, Oregano.",N/A
pasta mix,Carozzi,318.0,11.6,1.1,,,65.6,7802575034038,"spaghetti 5
tricolor
CO
Ingredientes: Semola de trigos
duros seleccionados, tomate
deshidratado (0,6%), espinaca
deshidratada (0,6%), niacina,
hierro (sulfato ferroso), tiamina y
riboflavina. Contiene gluten.
Elaborado en lineas que tambien
procesan huevo.",N/A
Panzani coquillette 500g,"Ebro Foods, Panzani",361.0,12.0,2.0,3.7,0.0,72.0,3038350013002,"100% semoule de _BLÉ_ dur de qualité supérieure, Si le numéro de lot contient la lettre N: peut contenir de l'oeuf,",N/A
Chicken & Mushroom,Pot Noodle,457.0,10.3,17.8,3.67,2.08,60.0,5000118203503,"oncentratet, acid (citric acid). Sauce sachet (4%): Soy sauce [water, Soy sauce SORBEAIL WHEAT, BARLEY), mushrooms (0.4%), herbs (chivest, sage), potato starch, mushro jie MK), Sugar, skimmed MILK powder, palm fat, salt, onion powder', yeastpowodr (antais Ingredients (as sold) POL Noodle mix (96%): Dried noodles (69%)[WHEAT flour (contains calcium carbonal, on niacin, thiamin), sunflower oil, palm oil, salt, firming agents (potassium carbonate, sodium cadorater, maltodextrin, WHEAT flour, sweetcorn, potassium chloride, flavour enhancers (monosodium glutamate, disodium inosinate, disodium guanylate), flavouring (aar LK), Sugar, skimmed MILK powder, palm fat. salt, onion powdert, yeast powder lan ge JbeHEAD), salt, molasses, sugar, acid (acetic acid)]. From sustainmbio rolory and mustard.",N/A
Pâtes coquillettes 1kg,Barilla,359.0,13.0,2.0,3.5,0.01,71.0,8076809514439,"Semoule de BLÉ dur, eau. Peut contenir des traces de SOJA et de MOUTARDE.",N/A
Lasagna boloñesa,Hacendado,143.0,7.4,6.1,3.5,0.9,14.0,8480000044877,"Salsa boloñesa (50 %: mezcla de carne de vacuno y porcino (35%*), tomate (35%*) (tomate y corrector de acidez [ácido citrico] agua, cebolla (4,7%*), almidón de arroz, aceite de oliva, azúcar, sal, ajo (ajo, sal, corrector de acidez [ácido citrico]), albahaca, oregano, pimienta negra y romero. Bechamel (31%): agua, leche, harina de trigo, mantequilla, sal, nuez moscada y pimienta blanca, Pasta (13%): sémola de trigo, huevo y agua, Mezcla de quesos (69%): mezcla de quesos: mozzarella, cheddar y emmental.",N/A
Green Pea Penne,The Foodie Market,185.0,12.0,0.9,3.0,0.02,29.5,4088600206479,"green pea flour,",N/A
Mac And Cheese Original Flavor,Kraft,357.0,12.9,2.86,10.0,2.0,70.0,0021000658831,"Enriched Macaroni (Wheat Flour, Durum Flour, Niacin, Ferrous Sulfate [Iron], Thiamin Mononitrate [Vitamin B1], Riboflavin [Vitamin B2], Folic Acid), Cheese Sauce Mix (Whey, Milkfat, Salt, Milk Protein Concentrate, Sodium Triphosphate, Contains Less than 2% of Tapioca Flour, Citric Acid, Calcium Phosphate, Sodium Phosphate, Lactic Acid, with Paprika, Turmeric, and Annatto Added for Color, Cheese Culture, Enzymes).",N/A
Couacous,Dari,350.0,12.0,2.0,1.6,0.02,72.0,6111094000228,Semoule de _blé_ dur 100 %.,N/A
Charlie Bingham Lasagne,Charlie Bigham's,167.0,9.3,8.7,2.5,0.62,12.3,5033665206864,"Milk, tomatoes, egg pasta (durum wheat semolina, water, free range egg), British beef (10%), white wine, Cheddar cheese (milk), smoked bacon (6%) (pork, salt, preservatives: potassium nitrate, sodium nitrate, sodium nitrite*, antioxidant: sodium ascorbate), British pork (6%), onions, tomato purée, cream (milk), carrots, wheat flour (wheat flour, calcium carbonate, iron, niacin, thiamin), celery, rapeseed oil, butter (milk), balsamic vinegar of Modena (wine vinegar, concentrated grape must), chicken liver, cornflour, beef stock (yeast extract, water, beef bone stock, salt, molasses, tomato purée, dried onions, sunflower oil, black pepper), garlic purée, oregano, salt, sugar, parsley, black pepper, ground nutmeg, ground star anise, white pepper. Secret ingredient: obsession. *Don't worry, this is part of the traditional curing method of smoked bacon. WARNING: Although we do our very best to take out all the bones, some may remain. ALLERGENS: For allergens, including cereals containing gluten, see ingredients in bold. May contain peanuts, nuts, sesame, soya and mustard. STORAGE: Refrigerate below 5°C. Best cooked from fresh. *If freezing, do so before use by date and eat within one month. Defrost thoroughly before cooking. For use by date, see top of pack. HOW TO PREPARE AT HOME: T Pre-heat oven. Remove the film but leave NUTRITION: Typical values as sold. Energy Fat (",N/A
Pasta Soup' - Tomates et Vermicelles,Liebig,38.0,1.1,0.6,3.4,0.675,6.6,3036811367763,"Jus de tomates à base de concentré (56%), eau, vermicelle cuit 8% (semoule de _blé_, blanc d'_œuf_), _lait_ écrémé, amidon modifié de maïs, sucre, sel, _beurre_ de cuisine, _céleri_, arômes (contient _lait_), huile de colza.",N/A
Riisinuudelit,"Combino, Lidl, Vitasia",358.0,7.5,1.3,0.1,0.14,78.0,4056489181293,"99.2% riisijauho (Vietnam), auringonkukkaöljy, suola.",N/A
Penne Rigate Integral,Hacendado,345.0,13.5,2.4,3.7,0.01,62.0,8402001010194,"Semola integral de trigo duro (gluten). Puede contener traza de huevos, soja y mostaza.",N/A
Sugo di Pomodoro Bolognese,"Combino,La Doria",88.0,5.7,5.1,3.8,0.885,4.2,20003937,"water, ground beef 21%, double tomato concentrate 18%, onions 4%, carrots, sugar, modified corn starch, salt, vegetable oil, lactic acid, garlic, yeast extract, herbs, spices,",N/A
Fusilli,Tesco,158.0,5.8,0.4,0.7,0.00025,31.5,5000119532305,Durum _Wheat_ Semolina.,N/A
Spaghetti Hoops,Heinz,52.0,1.7,0.2,3.9,0.4,10.6,5000157006899,"Spaghetti Hoops 42% (Water, Durum _Wheat_ Semolina), Tomatoes 41 %, Water, Sugar, Modified Cornflour, Salt, Citric Acid, Spice, Garlic Salt, Onion Extract, Spice Extract, Iron Sulphate, Vitamin D",N/A
Penne Rigate N°66,Rummo,356.0,14.5,1.6,3.1,0.005,69.5,8008343200660,Semola di grano duro.,N/A
,Gallina Blanca,92.6,2.13,3.87,0.452,0.839,12.3,8410300349952,"oriental noodles (90%) (wheat flour, palm oil, modified starch, salt, gasifiers (sodium carbonate, potassium carbonate)), dressing (10%) (salt, potato starch, flavor enhancers (e621, e635), lactose, sugar, vegetables in varying proportion (parsley, carrot, celery, leek), yeast extract, flavorings (contain wheat, egg and milk), chicken fat 1,5%, colorings (natural caramel,  paprika extract, curcumin), white pepper, soy sauce powder (soy,   wheat, maltodextrin, salt), chicken meat 0,5%, acidity corrector (citric acid),",N/A
Mama Instant Rice Noodles,Mama,353.0,6.0,0.5,0.0,0.17,80.0,8851876201549,"rice 85%, tapioca starch 15%",N/A
Lasagne Pasta,Tesco,176.0,5.8,0.7,1.9,0.1,35.7,5000436101925,Durum Wheat Semolina,N/A
Rice noodles Satay flavour,Itsu,,,,,,,5060262485286,"Rice noodles (62%) (rice, modified tapioca starch, sugar, salt, stabiliser: guar gum), broth paste (36%) Isoybean paste [water, soya beans, rice, salt), sesame paste, tamari soy sauce [water, soya beans, salt, alcohol), water, sugar, sesame oil, alcohol, yeast extract powder, salt, garlic powder, paprika powder, onion powder, coriander, chilli pepper, ginger powder), red pepper, leek.",N/A
Bolognese pasta sauce,Aldi,36.8,0.88,0.4,5.44,0.566,7.04,4088600304663,"tomato (78%), concentrated tomato purée (10%), onion (7%), sugar, modified maize starch, water salt, basil (0,5%), rapeseed oil, garlic purée, acidity regulator, citric acid, onion powder, parsley, dried basil, oregano, dried oregano, ground black pepper, dietary advice: suitable for vegetarians,",N/A
Orzo,Tesco,177.0,6.9,0.4,0.7,0.01,35.4,5052320752782,Durum _Wheat_ Semolina.,N/A
Coquillettes,"Ebro Foods, Panzani",361.0,12.0,2.0,3.7,0.0,72.0,3038350023001,100% semoule de BLÉ dur de qualité supérieure. Peut contenir des traces de soja. Si le numéro de lot contient la lettre N: peut contenir de l'euf.,N/A
Panzani Spaghetti n.5,Panzani,361.0,10.0,2.0,3.7,0.001,72.0,3038351165007,100% semoule de _blé_ dur de qualité,N/A
