Product Name,Brand,Calories (kcal),Proteins (g),Fat (g),Sugar (g),Salt (g),Carbohydrates (g),Code,Ingredients Text,Serving Suggestions
Blackcurrant Squash,Ribena,18.0,0.0,0.0,4.2,0.06,4.3,5054267003378,"Water, Blackcurrant Juice from Concentrate (30%), Sugar, Thickener (Polydextrose), Acidity Regulator (Sodium Gluconate), Acid (Citric Acid), Vitamin C, Natural Blackcurrant Flavourings, Extracts of Carrot and Hibiscus, Preservatives (Potassium Sorbate, Sodium Bisulphite), Sweeteners (Acesulfame K, Sucralose).",N/A
Apple Juice,"Naturis, Solevita, Vitafit",45.0,0.1,0.1,9.9,0.01,10.4,20569105,"Cloudy Apple Juice, Antioxidant: Ascorbic Acid.",N/A
MOJU GINGER SHOTS 7x,Moju,47.0,0.8,0.5,8.6,0.0,9.9,5060490010496,"Apple, Ginger Root (25%), Lemon, Antioxidant: Ascorbic Acid (PER 100ml) NUTRITION/VITAMINS Energy 83kJ/",N/A
Double Concentrate Apple & Blackcurrant Squash No Added Sugar,Robinsons,18.0,0.0,0.0,2.4000000953674,0.25,2.4000000953674,5010102115491,"water, fruit juices from concentrate (apple 18%, blackcurrant 2%), acids (citric acid, malic acid), natural colour (anthocyanins), natural flavouring, acidity regulator (sodium citrate), sweeteners (acesulfame k, sucralose), preservatives potassium sorbate, sodium metabisulphite), stabiliser (cellulose gum),",N/A
Pineapple juice. Saft Ananas Saft,Solevita,50.0,0.4,0.0,11.5,0.01,11.5,20093273,Jus d'ananas.,N/A
Lemon juice,Aldi,20.0,0.5,0.5,0.5,0.01,15.0,4088600099071,"lemon juice from concentrate, lemon oil, preservative: potassium metabisulphite",N/A
Innocent Smooth Orange Juice,Innocent,35.0,0.7,0.5,7.8,0.01,7.8,5038862102704,17 squeezed oranges (100%),N/A
Pure Squeezed Orange Juice Smooth Not From Concentrate,Tesco,43.0,0.6,0.0,10.0,0.01,10.0,5052910759214,Orange Juice (100%),N/A
Zumo pura naranja con pulpa,Hacendado,44.0,0.7,0.1,9.3,0.0,9.9,8480000390325,"Zumo de Naranja, pulpa y vitamina C",N/A
fanta tops pomme 1.5l,TOPS,0.7,0.0,0.0,0.0,0.063,0.0,5449000126665,"Arômes de pomme avec édulcorants. Sucré à l'acésulfame K et au sucre d'amande. Ingrédients : eau gazeuse, niveaux d'acidité : 330, E331, arômes naturels, édulcorants : E955, E950 : colorant : E150d, conservateur : E211.",N/A
Peeled Tomatoes in tomato juice,"Baresa,Lidl",23.0,0.8,0.0,2.5,0.28,3.5,20198107,"60% домати, 39,9% доматен сок, регулатор на киселинността: лимонена киселина.",N/A
CHOPPED TOMATOES IN TOMATO JUICE,Sainsbury's Basics,19.0,0.9,0.5,2.6,0.1,3.1,01163575,"Our ingredients Chopped Tomatoes (60%), Tomato Juice, Acidity Regulator: Citric Acid.",N/A
Raw Boost,Mockingbird,48.0,0.4,0.3,8.3,0.01,10.0,5060406461725,"4 3/4 PRESSED APPLES, ½ ORANGE, 29 CRUSHED BLACKCURRANTS (8%), 5 CRUSHED STRAWBERRIES (8%), 12 ½ BLUEBERRIES, SQUEEZE OF BEETROOT (2%), CRUSHED ACAI BERRIES (2%), CRUSHED SPINACH (1%), CRUSHED KALE (1%), VITAMIN C (ASCORBIC ACID), VITAMIN B6.",N/A
Houmous,Waitrose Duchy Organic,279.0,6.7,21.6,0.7,0.95,12.6,5000169090336,"Cooked chickpeas (48%) (water*, chickpeas), water*, sunflower oil, tahini (14%) (sesame seed paste), concentrated lemon juice, sea salt*, garlic.",N/A
Raïbi,albane,72.0,2.3,1.1,9.2,0.0,13.3,6111265800183,"lait
sucre
amidon
correcteur d'acidité :acide citrique , arôme coloré, ferment lactiques matière grasse",N/A
Abtal,Valencia,49.0,0.1,0.0,11.2,0.0,12.0,6111251752779,CE E BON Tetra Pak QUI ES EST VALEURS NUTRITIONNELLES PAR 100 ml,N/A
JOKER LE BIO MULTIFRUIT 1L,Joker,40.0,0.0,0.0,8.6,0.0,9.3,3123349014433,"Jus à base de concentrés de : pomme(1), orange(1), citron(1); jus et purées de : mangue(1), banane(1), pomme(1), pêche(1), fruit de la passion(1) ; eau.

(1)Issu de l'Agriculture Biologique.",N/A
Chopped Tomatoes in Tomato Juice,"Baresa, Freshona",20.0,1.3,0.1,3.0,0.04,3.0,40879345,"60% tomates pelées concassées¹, 39,9% jus de tomates¹, correcteur d'acidité: acide citrique. ¹Ingrédients issus de l'agriculture biologique.",N/A
100% Pur Jus - Pomme,"CMI (Carrefour Marchandises Internationales), Carrefour, Groupe Carrefour",47.0,0.0,0.0,10.0,0.01,10.0,3560070275267,Jus de pomme.,N/A
Pressed Apple Juice Not From Concentrate,Tesco,49.0,0.3,0.0,11.2,0.1,11.2,5052910758996,"Apple Juice, Antioxidant (Ascorbic Acid)",N/A
Bi Frutas Tropical,Pascual,21.7,0.03,0.0,4.8,,4.8,8410128769611,"eau, lait écrémé, jus de fruits 7% (ananas et mangue) à base de concentré, sucre, stabilisant (pectine E440), arômes identiques au naturel, régulateur d'acidité (acide citrique E330), vitamines C, E et A, édulcorant (sucralose E955), colorant (bêta-carotène E160a)",N/A
Chopped tomatoes in tomato juice,Everyday Essentials,22.0,1.1,0.1,3.8,0.01,3.8,4088600550862,"Tomatoes (60%), Concentrated Tomato Juice, Acidity Regulator: Citric Acid.",N/A
Zumo Juver Disfruta Piña Brik 1L,Juver,25.0,0.2,0.1,4.5,0.1,5.7,8410707000203,"pineapple juice from concentrate (50%), water, acidifier (citric acid), antioxidant: (l-ascorbic acid) and sweeteners (sucralose and acesulfame-k),",N/A
Fruit Creations: Orange & Mango,robinsons,2.0,0.0,0.0,0.0,0.03,0.0,5010102240384,"Water, Fruit Juices from Concentrate (Orange 8%, Mango 4%), Orange Fruit From Concentrate (8%), Acids (Citric Acid, Malic Acid), Acidity Regulator (Sodium Citrate), Natural Flavouring, Sweeteners (Acesulfame K, Sucralose), Preservațives (Potassium Sorbate, Sodium Metabisulphite), Stabiliser (Cellulose Gum), Natural Colours (Arlhacyanins, Carotenes).",N/A
Smooth Orange Juice,"Tropicana,PepsiCo",40.0,0.8,0.0,8.6,0.0,9.3,5022313729824,100% Orange Juice (not from concentrate),N/A
Italian chopped tomatoes in tomato juice,Morrisons,21.0,0.9,0.5,2.7,0.09,2.8,5010251535478,"Tomato (60%), Concentrated tomato juice, Acidity regulator (citric acid).",N/A
Innocent jus pomme & framboise 900ml,Innocent,42.7,0.193,0.0,9.33,0.0,10.0,5038862165501,"pommes pressées (91%), framboises mixées (8%), vitamine C.",N/A
Melocotón,Rostoy,55.0,0.3,0.0,13.9,0.025,13.9,8410261775234,"Puré de melocotón, agua, azúcar, acidulante: ácido cítrico y antioxidante: ácido ascórbico.",N/A
"PET1,5L SCHW.ZERO INDIAN TONIC","Orangina Schweppes, Schweppes",1.0,0.0,0.0,0.0,0.0,0.0,3124480001429,"eau gazéifiée, acidifiant : acide citrique, édulcorants : acésulfame K et sucralose, arômes naturels, arôme : quinine.",N/A
apple juice,Innocent,45.0,0.2,0.0,9.5,0.0,11.0,5038862104708,"Apples, antioxidant (ascorbic acid).",N/A
Limón exprimido,Hacendado,29.0,0.0,0.0,0.01,1.5,7.1,8480000049032,"Limón (99,98%), antioxidante (_dióxido de azufre_),",N/A
Cranberry Classic,Ocean Spray,10.0,0.0,0.0,2.15,,2.15,0031200452009,"water, cranberry juice from concentrate (27 %), sugar, vitamin c, vegetable and fruit concentrate (carrot, cranberry), natural flavouring.",N/A
smoothie mangoes & passion fruits,Innocent,51.0,0.0,0.0,10.0,0.0,12.0,5038862304504,"pressed apples, crushed mango (16%), mashed bananas, squeezed orange, pressed passion fruit (3%), crushed peach, squeezed lime.",N/A
Orange Juice,the juice Company (Aldi),48.0,0.4,0.333,10.7,0.00667,10.7,4088600160023,ORANGE JUICE NOT FROM CONCENTRATE (100%).,N/A
Pomerančový džus,"Lidl, Solevita",44.0,0.7,0.2,9.1,0.01,9.1,4056489238676,lisovaná 100% pomerančová šťáva,N/A
défense kiwi banane & orange,joker,37.0,0.5,0.0,7.5,0.06,8.2,3123349016017,"TENEUR EN FRUITS: 81%. Ingrédients jus de pomme à base de concentré (31%); jus d'orange (22%); eau; eau de coco à base de concentré; purées de : kiwi (11%), banane (5%); jus de citron à base de concentré ; extrait de spiruline 10.1%) concentré de carthame; vitamine D.",N/A
Wild Strawberry Gourmet Sweets,Candy Kittens,343.0,0.4,0.1,60.0,0.315,84.0,5060384262918,"Sugar, glucose syrup, modified starch, 6% strawberry juice from concentrate, dextrose, 4% coconut water from concentrate, acids (malic acid, citric acid, lactic acid), potato protein, acidity regulators: sodium malates and calcium carbonate, natural flavouring, fruit and plant concentrates (sweet potato, black carrot, hydrolysed pea protein. Allergy Advice: Packed in a factory that handles peanuts, nuts, sesame and milk.",N/A
Lemon Juice,Tesco,26.0,0.3,0.1,1.4,0.1,1.7,5018374023513,"Lemon Juice from Concentrate (Water, Concentrated Lemon Juice), Lemon Oil, Preservative (Potassium Metabisulphite).",N/A
Jus de citron vert,Solevita,28.0,0.4,0.5,0.8,0.01,1.0,4056489009412,"Jus de citron vert à base de concentré, conservateur : disulfite de potassium,",N/A
Blue machine,Naked,50.0,0.1,0.0,10.0,,12.0,5022313318417,"Apple juice from concentrate (71%), Apple puree (12%), Banana puree, Blueberry puree (7%). Blackcurrant puree, Elderberry juice, Goji berry tract (0.1%), Natural flavourings, Vitamins C, E, B6, Thiamin, Riboflavin.",N/A
Lime Juice,Rose's,21.2,0.0,0.0,4.8,0.0,4.8,5000193140946,"water, lime juice from concentrate (5%), sugar, citric acid, flavourings, preservative (sodium metabisulphite), colours (carotenes, green s)",N/A
Peeled plum tomatoes in a rich tomato juice,Napolina,22.0,1.3,0.2,3.4,0.13,3.4,5010061001019,"Tomatoes, Tomato Juice, Acidity Regulator: Citric Acid.",N/A
Pur jus orange carotte,,41.0,0.6,0.5,8.5,0.01,9.1,3248340057262,"Jus d'orange (74%), jus de pomme (17%), jus de carotte (9%). jus de citron.",N/A
Chopped Tomatoes,Asda,22.0,1.1,0.5,3.8,0.01,3.8,5054781025702,"Tomatoes 60%, Concentrated Tomato Juice, Acidity Regulator (Citric Acid).",N/A
,CAPRI-SUN.,37.0,0.0,0.0,8.9,0.0,9.0,4000177211311,"spring water, sugar, concentrated fruit juice 10% (lemon, orange 1,8%, passion fruit 1%, pineapple 1%, apricot), antioxidant (ascorbic acid), natural aroma,",N/A
Orange Juice smooth from concentrate,Tesco,47.0,0.5,0.1,10.5,0.0,10.5,5000119010643,Orange juice,N/A
Sour Watermelon,Candy Kittens,344.0,0.4,0.1,60.0,0.315,84.0,5060384262901,"sugar, glucose syrup, modified starch, 10% watermelon juice from concentrate, dextrose, acids (malic acid, citric acid, lactic acid), potato protein, acidity regulators: sodium malates and calcium carbonate, natural flavouring, fruit and plant concentrates (black carrot, pumpkin, apple), spirulina concentrate, hydrolysed pea protein.",N/A
Tropicana Clémentine 1 L,Tropicana,50.0,0.6,0.0,10.0,0.0,10.0,3502110004000,Jus de clémentine,N/A
Super smoothie Défense,Innocent,57.0,0.0,0.7,10.0,0.1,12.0,5038862235235,"Pommes pressées (68%), banane, mangue  (11%), fruit de la passion (3,3%), lait de coco (1,6%), cerises, jus de citron vert, gingembre (0,25%), fibres d'agrumes, vitamines (B2, B3, B6, C).",N/A
Houmous,Morrisons,286.0,7.8,22.8,0.8,0.51,9.7,09014947,"Cooked chickpeas (50%) (chickpeas, water), Water, Rapeseed oil, _Sesame seed_ paste (13%), Concentrated lemon juice (4%), Garlic purée, Salt, Preservative (potassium sorbate).",N/A
Jus à base de jus et purées concentrés.,Joker,46.0,0.0,0.0,9.9,0.0,10.4,3123340008264,"jus à base de jus concentrés et purées de : pomme, orange, banane, mangue, peche, ananas, fruit de la passion, citron, carotte, Bien agiter avant de seruir, Pour une saveur optimale, Joker Le Fruit doit être conservé au réfrigerateur",N/A
Innocent jus de pomme 900ml,Innocent,41.0,0.05,0.0,10.0,0.0,10.0,5038862164504,"8 1/2 pommes pressées, un zeste de vitamine C.",N/A
"Tropicana Réveil fruité format familial 1,5 L",Tropicana,51.0,0.6,0.0,11.0,0.0,11.0,5410188013085,"Jus de mandarine, d'orange, de pomme et de raisin blanc",N/A
FRUIT & BARLEY SUMMER FRUITS,"ROBINSONS, Robertsons",5.0,,0.0,0.0,0.08,,5000147030682,"water, fruit juices from concentrate 10% ( apple 9%, strawberry 0.3%, plum, blackcurrant, cherry 0.1%), acids (citric acid, malic acid), refined barley flour (1%), acidity regulator (sodium citrate), sweeteners (acesulfame K, sucralose), preservatives (potassium sorbate, sodium metabisulphate), Vitamins (C, niacin, B6, D), natural flavouring,  carrot concentrate, natural colour (anthocyanins).",N/A
Sweet Pineapple Slices In Juice,Four Seasons,51.0,0.5,0.5,12.0,0.01,12.0,4088600173108,"Pineapple Slices, Pineapple Juice.",N/A
75 CL FRUITS DU DRAGON PAGO,Pago,44.0,0.5,0.5,10.0,0.01,10.0,9002515601926,"Eau, jus à base de concentré, purée de pommes, purée de goyave, sucre, purée de fruit du dragon, jus de citron à base de concentré, jus de betterave à base de concentré, arôme naturel, vitamine C",N/A
Lemon Juice,"by Sainsbury's,Sainsbury's",,0.5,0.5,0.9,0.02,1.0,01180992,"lemon juice from concentrate (sulphites), lemon oil, preservative potassium metabisulphite (sulphites)",N/A
Smooth Orange Juice,Innocent,42.0,0.71,0.0,8.8,0.0,9.4,5038862102506,oranges (100%),N/A
"Innocent jus pomme, pêche & poire 900ml",Innocent,42.0,0.4,0.0,9.0,0.0,9.0,5038862161503,"pommes pressées (70%), pêche mixée (20%), poire mixée (10%), Vitamine C,",N/A
Bolt from the blue,innocent,39.0,0.17,0.0,8.91,2.27e-05,9.61,5038862139991,"Apple juice - 66%, coconut water - 18%, white grape juice, white guava puree - 5%, passion fruit juice, spirulina extract - 0.8%, lime juice - 0.7%, vitamins (B1, B2, B3, B6 & E)",N/A
Bolt from the Blue,Innocent,39.0,0.17,0.0,8.9,0.01,9.6,5038862138697,"apples (66%), coconut water (18%), grapes, white guava (5%), passion fruit, spirulina extract (0.8%), lime (0.7%), vitamin B1, vitamin B2, vitamin B3, vitamin B6, vitamin E",N/A
Berry Set Go,innocent,42.0,0.0,0.0,10.0,0.0,11.0,5038862137522,"Apple juice (82%), white grape juice, raspberry juice (3%), Sour cherry puree (3%), goji berry juice (2%), passion fruit juice, beetroot juice,lime juice, vitamins (B₁, B2, B3, B6 & E) & guarana infusion (0.02%)",N/A
jus de clémentines pressées,Andros,44.0,0.7,0.1,10.0,0.0,10.0,3045320104172,Jus de clémentines.,N/A
100% Sparkling Apple Juice,Appletiser (Coca-Cola),47.0,0.0,0.0,10.5,0.06,11.0,6001048000902,Apple Juice from concentrate (100%),N/A
Spiced Lentil & Tomato Soup,M&S,43.0,2.1,0.5,2.2,0.422,7.0,00851985,"soupe épicée de légumes avec du riz con)plet, des pois - chiches et du dhal INGREDIENTS 00 • Concentré de tomate • tomates • Noix de coco déshydratée, andre • Epices moulues (Graines de coriandre • Ginaembre 'l curcuma Poivre noir • Graines de cumin • Fenugrec) • Sel Farine de \ lentilles corail • Fécule de maïs • Jus de carotte concentré • Jus de :çitron • Purée d'ail • Purée de piment rouge • Poudre 4e piment,",N/A
Jus d'orange pour jus,"Marque Repère, Jafaden",45.0,0.5,0.5,9.2,0.01,9.2,3564700002841,Jus d'orange.,N/A
Peach slices in juice,Aldi,43.0,0.6,0.5,9.7,,9.7,4088600389752,"Peach Slices, Water, Concentrated Grape Juice, Acidity Regulator: Citric Acid. WARNING: Although every effort has been made to remove stones, some small",N/A
Del Monte Pærer Halve i Juice 415g,ARVID NORDQUIST NORGE AS,35.0,0.1,0.0,8.7,0.03,8.7,0024000124962,"Pærer, klaret druesaft fra konsentrat, surhetsregulerende middel: citronsyre, konsistensmiddel: calciumchlorid",N/A
LE PUR JUS Multifruits,Joker,48.0,0.5,0.0,9.8,0.0,11.0,3123340003054,"Jus de pomme, pêche, orange, ananas, banane, passion, mangue, abricot, vitamine C.",N/A
Apple,JUICEBURST,42.0,0.5,0.5,10.5,0.01,10.5,5038512005041,"Apple Juice from Concentrate 95%, Water, Natural Flavouring, Potassium Sorbate",N/A
,Hacendado,27.0,0.3,0.0,4.9,0.01,6.3,8480000391063,"pineapple juice from concentrate (50%), water, acidulant: citric acid, stabilizer: pectin, sweeteners: sucralose and acelsulfame k, vitamins a, c and e and aromas,",N/A
Tropicana Oranges pressées sans pulpe,Tropicana,41.0,0.8,0.0,8.4,0.0,9.3,3168930156376,Jus d'orange,N/A
Vimto,"Vimto, MAC",2.0,0.0,0.0,0.3,0.01,0.3,5010438013638,"ondents Acids (Citric Acid, Malic Acid), Vimto Flavouring (Including Natura te Mixed Fruit Juices From Concentrate 10% (Grage, Backroom Fruits, Herbs, Barley Malt and Spices), Colouring Food Concentrad Carrot, Hibiscus), Sweeteners (Sucralose, Acesulfame Pre (Potassium Sorbate, Sodium Benzoate), Vitamin C, Addity Regi (Sodium Citrate), Vitamin D. Typical values Energy Fat",N/A
Smooth Orange Juice,Tropicana,40.7,0.8,0.0,8.67,,9.33,1210002010481,Orange juice. NOT FROM CONCENTRATE,N/A
Pom Wonderful 100% Pomegranate Juice,Wonderful,65.0,0.3,0.0,14.0,,16.0,5060137770691,"pomegranate juice (100%) from concentrate, vitamin C",N/A
Suc de mere,Solevita,47.0,0.1,0.1,10.5,0.0,11.0,20068509,100% Apfeldirektsaft.,N/A
pure fruit juice apple,Innocent,46.0,0.17,0.1,9.5,0.01,11.0,5038862104500,"8 pressed apples , ascorbic acid",N/A
Orange Juice with Juicy Bits,Tropicana,41.0,0.8,0.0,8.6,,9.3,5022313000282,Orange juice. NOT FROM CONCENTRATE,N/A
Sour Shox,Candy Kittens,349.0,0.9,0.1,64.0,0.1775,84.0,5060384263076,"Sugar, glucose syrup, modified starch, dextrose, 5% strawberry juice from concentrate, 5% apple juice from concentrate, acids (malic acid, citric acid, lactic acid), potato protein, acidity regulators: sodium malates and calcium carbonate, plant concentrates (black carrot turmeric, safflower), natural flavourings, spirulina concentrate, hydrolysed pea protein",N/A
N/A,N/A,,,,,,,6111250472760,N/A,N/A
Cloudy Apple Juice,Copella,47.0,0.2,0.0,10.0,0.0,11.0,5012876336096,"Apple juice, Antioxidant: Vitamin C (Ascorbic acid).",N/A
Bebida de arándanos y frutas rojas,Hacendado,19.0,0.20000000298023,0.0,3.4000000953674,0.0,3.5,8480000396273,,N/A
Pur jus de citron bio,"Jardin Bio, Jardin biologique, Léa Nature",31.0,0.0,0.8,1.7,0.01,1.7,3456300009224,Jus de citron issu de l'agriculture biologique.,N/A
Orange Juice With Bits Not From Concentrate,Tesco,45.0,0.6,0.0,10.0,,10.0,5052910759092,orange juice (100%).,N/A
Chopped tomatoes,Asda,22.0,1.1,0.5,3.8,0.01,3.8,21050732,"chopped tomatoes (60%), tomato juice, acidity regulator (citric acid),",N/A
