Product Name,Brand,Calories (kcal),Proteins (g),Fat (g),Sugar (g),Salt (g),Carbohydrates (g),Code,Ingredients Text,Serving Suggestions
Bran Flakes,Harvest Morn,359.0,12.0,2.5,11.0,0.28,64.0,4088600326252,"wholegrain wheat (80%), wheat bran (20%), sugar, malted barley extract, salt, niacin, iron, pantothenic acid, thiamin, riboflavin, vitamin b6, folic acid, vitamin b12",N/A
Oat Milk,Califia Farms,55.0,0.7,3.0,2.0,0.12,5.7,0813636021932,"OAT DRINK (WATER, OATS (10%)), RAPESEED OIL, ACIDITY REGULATOR (DIPOTASSIUM PHOSPHATE), CALCIUM CARBONATE, TRICALCIUM PHOSPHATE, SEA SALT.",N/A
Honey Granola,Dorset Cereals,494.0,13.1,25.3,12.6,0.03,49.2,5018357804863,"Wholegrain OAT flakes (46%), nuts & seeds (28%) [sliced ALMONDS, sunflower seeds, pumpkin seeds, chopped PECAN NUTS], honey (16%), toasted wholegrain RYE flakes, vegetable oil (rapeseed and sunflower in varying proportions), natural flavouring.",N/A
rice crispies,Kellogg’s,390.0,7.0,1.33,8.0,0.983,86.7,5059319024165,"(EN) TOASTED RICE CEREAL FORTIFIED WITH VITAMINS AND IRON. INGREDIENTS: Rice, sugar, salt, barley malt extract, niacin, iron, vitamin B6, riboflavin, thiamin, folic acid, vitamin D, vitamin B12. For allergens see ingredients highlighted in bold. May contain gluten from other cereals. Best before: see top.",N/A
Weetabix Oatiflakes 550g,Weetabix,405.0,11.0,8.6,14.0,0.258,67.0,5010029208610,"Wholegrain Oats (93%), Sugar, Malted Barley Extract, Potassium Chloride, Salt, Niacin, Iron, Pantothenic Acid (B5), Thiamin (B1), Riboflavin (B2), Vitamin B6, Folic Acid, Vitamin B12. ALLERGY ADVICE: NUTE For allergens, see ingredients in bold. Also, may contain nuts, wheat and rye. For BEST BEFORE, see top flap. This pack contains approximately eighteen 30g servings. CONTAINS F FOLI ACID SUITA Energy FOR EGETARIANS Fat of wh Carbol of wh Fibre Protein VEGAN & Salt Vitamin Thiami Ribofla Niacin Vitamin Folic Ac Vitamin Pantoth Iron **RI-Refe *Enjoy as part of a healthy diet and lifestyle. Beta-glucans contribute to the maintenance is 40% of the suggested daily intake (3g). Oat beta-glucan has been shown to lower/red has many risk factors and altering one of these may or may not have a beneficial effect.",N/A
Warburtons 6 Brown Sandwich Thins,Warburtons,250.0,10.0,2.75,4.0,0.955,45.3,5010044004679,"wheat flour [with calcium, iron, niacin (b3) and thiamin (b1)] and wholemeal wheat flour, water, vegetable oil (rapeseed, sustainable palm), wheat gluten, dextrose, salt, if st un iyeast, barley malt flour, sugar, stabiliser: xanthan gum, emulsifiers: e471, e481, gelling agent: e466, caramelised sugar, soya flour, preservative: calcium propionate (added to inhibit mould growth), flour treatment agents: ascorbic acid (vitamin c), e920 (vegetarian), pa o fo",N/A
Classic Medium Sliced Wholemeal Bread,Allinson's,228.0,11.1,2.61,3.26,0.957,37.2,5010092736614,"Wholemeal Wheat Flour, Water, Wheat Protein, Yeast, Fermented Wheat. Flour, Salt, Oat Bran, Malted Barley Flour, Vinegar, Molasses Sugar, Sustainable Soya Flour, Vegetable Oils (Rapeseed, Sustainable Palm), Flour Treatment Agent: Ascorbic Acid (VitaminC)",N/A
Oreo o's,Oreo,382.0,7.9,2.1,27.0,0.56,81.0,5010029227062,"Farines de céréales (66%) (BLÉ (45%), riz (21 %)), sucre, poudre de cacao dégraissée, brisure de biscuits Oreo (2,9 %) (farine de BLÉ, sucre, huile de graines de colza, poudre de cacao dégraissée (0,2 %), sirop de glucose-fructose, amidon de BLÉ, poudres à lever (carbonate de potassium, carbonate d'ammonium, carbonate de sodium), huile de palme, sel, émulsifiant : lécithine de SOJA, régulateur d'acidité: hydroxyde de sodium, aromatisants), Amidon de BLÉ (2,5 %), aromatisants, sel, niacine, fer, riboflavine (B2), vitamine B6, thiamine (B1), acide folique, vitamine D, vitamine B12. Peut également contenir des NOIX et du LAIT.",N/A
wholemeal sourdough bread,Taste the difference,258.0,10.9,4.0,2.6,0.9725,42.4,00363167,"wholemeal british _wheat_ flour, water, rapseed oil, sea salt, _wheat_ gluten, extra virgin olive oil 1%, _soya_ flour, fermented _wheat_ flour, fortified wheat flour (wheat flour, calcium carbonate, iron, niacin, thiamin), _wheat_ flour, flour treatment agent:ascorbic acid.",N/A
Les galettes orge et boulgour au chèvre miel,Céréal Bio,219.0,5.4,9.0,3.4,0.96,26.0,3175681132467,"crushed barley * precooked 41,8%, wheat bulgur * precooked 29,2%, onions*, vegetable oils* (oleic sunflower* and sunflower*), goat cheese* (without animal rennet) 5,9%, wheat flour*, whole oatmeal*, whole wheat flakes*, honey* 2,4%, poppy seeds* 1%, sea salt, pepper*, 
*ingredients from organic farming,",N/A
